name,prefix,seed,dim,variance,k,min_cluster_size,ari,nmi,sum
MultiDensityDBSCAN,high_data,0,2,1,40,25,0.15314392794848633,0.5533770960625242,0.7065210240110105
MultiDensityDBSCAN,high_data,0,2,1,50,2,0.002786799525650769,0.432496753390466,0.43528355291611676
MultiDensityDBSCAN,high_data,0,2,1,50,3,0.006504617556094336,0.4528709930843962,0.45937561064049054
MultiDensityDBSCAN,high_data,0,2,1,50,5,0.012543607497246126,0.4721333043444466,0.48467691184169276
MultiDensityDBSCAN,high_data,0,2,1,50,10,0.03133930245406789,0.4998546177366141,0.531193920190682
MultiDensityDBSCAN,high_data,0,2,1,50,15,0.05252393130770867,0.5181534687575828,0.5706774000652916
MultiDensityDBSCAN,high_data,0,2,1,50,20,0.12388371123344093,0.5290225286034771,0.652906239836918
MultiDensityDBSCAN,high_data,0,2,1,50,25,0.1498987387179776,0.5495413173141509,0.6994400560321286
MultiDensityDBSCAN,high_data,0,2,1,60,2,0.0027545667377869417,0.43314095168860267,0.4358955184263896
MultiDensityDBSCAN,high_data,0,2,1,60,3,0.0063073542622333655,0.4514440018658251,0.4577513561280585
MultiDensityDBSCAN,high_data,0,2,1,60,5,0.01245129490695289,0.4707084120038943,0.4831597069108472
MultiDensityDBSCAN,high_data,0,2,1,60,10,0.029191480821389604,0.49400826333341974,0.5231997441548093
MultiDensityDBSCAN,high_data,0,2,1,60,15,0.048889373011955735,0.5118652045402443,0.5607545775522
MultiDensityDBSCAN,high_data,0,2,1,60,20,0.1366963634440686,0.5307913454465183,0.6674877088905868
MultiDensityDBSCAN,high_data,0,2,1,60,25,0.1471752601184332,0.5355766111171416,0.6827518712355748
MultiDensityDBSCAN,high_data,0,2,1.2,5,2,0.020890358521913757,0.47869609281141917,0.4995864513333329
MultiDensityDBSCAN,high_data,0,2,1.2,5,3,0.021613167511811603,0.47723878180178136,0.49885194931359295
MultiDensityDBSCAN,high_data,0,2,1.2,5,5,0.02284913119939442,0.47506452119010345,0.49791365238949786
MultiDensityDBSCAN,high_data,0,2,1.2,5,10,0.024192893001034384,0.4735458396611838,0.4977387326622182
MultiDensityDBSCAN,high_data,0,2,1.2,5,15,0.034533428721904416,0.4744215679602526,0.508954996682157
MultiDensityDBSCAN,high_data,0,2,1.2,5,20,0.04080926647164166,0.47158549531405325,0.5123947617856949
MultiDensityDBSCAN,high_data,0,2,1.2,5,25,0.04041562320300003,0.47181074133397166,0.5122263645369717
MultiDensityDBSCAN,high_data,0,2,1.2,6,2,0.030018729325872774,0.4954371337807896,0.5254558631066624
MultiDensityDBSCAN,high_data,0,2,1.2,6,3,0.031245525851288914,0.4947193084969327,0.5259648343482216
MultiDensityDBSCAN,high_data,0,2,1.2,6,5,0.0319189488107286,0.49164859436333286,0.5235675431740614
MultiDensityDBSCAN,high_data,0,2,1.2,6,10,0.03630648474189987,0.4915574522560568,0.5278639369979566
MultiDensityDBSCAN,high_data,0,2,1.2,6,15,0.03953290910460644,0.4936562850285901,0.5331891941331965
MultiDensityDBSCAN,high_data,0,2,1.2,6,20,0.05489033239178384,0.49319952671714573,0.5480898591089296
MultiDensityDBSCAN,high_data,0,2,1.2,6,25,0.04275613055748676,0.48597017592847475,0.5287263064859615
MultiDensityDBSCAN,high_data,0,2,1.2,7,2,0.0388914833082859,0.5088742979840947,0.5477657812923806
MultiDensityDBSCAN,high_data,0,2,1.2,7,3,0.0395149576891362,0.5089401369444363,0.5484550946335724
MultiDensityDBSCAN,high_data,0,2,1.2,7,5,0.03953829106026129,0.5052669640542647,0.544805255114526
MultiDensityDBSCAN,high_data,0,2,1.2,7,10,0.044891378095143306,0.5080346534838072,0.5529260315789505
MultiDensityDBSCAN,high_data,0,2,1.2,7,15,0.04405415811034725,0.5064690405178371,0.5505231986281844
MultiDensityDBSCAN,high_data,0,2,1.2,7,20,0.04621472124185816,0.504380920886788,0.5505956421286462
MultiDensityDBSCAN,high_data,0,2,1.2,7,25,0.059465572303607724,0.5066040472611679,0.5660696195647756
MultiDensityDBSCAN,high_data,0,2,1.2,10,2,0.07478242842982062,0.5489481679051843,0.6237305963350049
