name,prefix,seed,dim,n_clusters,threshold,branching_factor,ari,nmi,sum
Birch,high_data,0,2,10,0.125,750,0.1850336626432394,0.41585499506187507,0.6008886577051145
Birch,high_data,0,2,10,0.125,1000,0.1850336626432394,0.41585499506187507,0.6008886577051145
Birch,high_data,0,2,10,0.15,10,0.2656632982431273,0.490738998567819,0.7564022968109463
Birch,high_data,0,2,10,0.15,25,0.2665678025636279,0.47537681900677065,0.7419446215703985
Birch,high_data,0,2,10,0.15,40,0.2665678025636279,0.47537681900677065,0.7419446215703985
Birch,high_data,0,2,10,0.15,50,0.2665678025636279,0.47537681900677065,0.7419446215703985
Birch,high_data,0,2,10,0.15,60,0.2665678025636279,0.47537681900677065,0.7419446215703985
Birch,high_data,0,2,10,0.15,75,0.2665678025636279,0.47537681900677065,0.7419446215703985
Birch,high_data,0,2,10,0.15,100,0.2665678025636279,0.47537681900677065,0.7419446215703985
Birch,high_data,0,2,10,0.15,150,0.2665678025636279,0.47537681900677065,0.7419446215703985
Birch,high_data,0,2,10,0.15,200,0.2665678025636279,0.47537681900677065,0.7419446215703985
Birch,high_data,0,2,10,0.15,250,0.2665678025636279,0.47537681900677065,0.7419446215703985
Birch,high_data,0,2,10,0.15,300,0.2665678025636279,0.47537681900677065,0.7419446215703985
Birch,high_data,0,2,10,0.15,400,0.2665678025636279,0.47537681900677065,0.7419446215703985
Birch,high_data,0,2,10,0.15,500,0.2665678025636279,0.47537681900677065,0.7419446215703985
Birch,high_data,0,2,10,0.15,600,0.2665678025636279,0.47537681900677065,0.7419446215703985
Birch,high_data,0,2,10,0.15,750,0.2665678025636279,0.47537681900677065,0.7419446215703985
Birch,high_data,0,2,10,0.15,1000,0.2665678025636279,0.47537681900677065,0.7419446215703985
Birch,high_data,0,2,10,0.2,10,0.13929097458902004,0.36804312147199414,0.5073340960610142
Birch,high_data,0,2,10,0.2,25,0.13929097458902004,0.36804312147199414,0.5073340960610142
Birch,high_data,0,2,10,0.2,40,0.13929097458902004,0.36804312147199414,0.5073340960610142
Birch,high_data,0,2,10,0.2,50,0.13929097458902004,0.36804312147199414,0.5073340960610142
Birch,high_data,0,2,10,0.2,60,0.13929097458902004,0.36804312147199414,0.5073340960610142
Birch,high_data,0,2,10,0.2,75,0.13929097458902004,0.36804312147199414,0.5073340960610142
Birch,high_data,0,2,10,0.2,100,0.13929097458902004,0.36804312147199414,0.5073340960610142
Birch,high_data,0,2,10,0.2,150,0.13929097458902004,0.36804312147199414,0.5073340960610142
Birch,high_data,0,2,10,0.2,200,0.13929097458902004,0.36804312147199414,0.5073340960610142
Birch,high_data,0,2,10,0.2,250,0.13929097458902004,0.36804312147199414,0.5073340960610142
Birch,high_data,0,2,10,0.2,300,0.13929097458902004,0.36804312147199414,0.5073340960610142
Birch,high_data,0,2,10,0.2,400,0.13929097458902004,0.36804312147199414,0.5073340960610142
Birch,high_data,0,2,10,0.2,500,0.13929097458902004,0.36804312147199414,0.5073340960610142
Birch,high_data,0,2,10,0.2,600,0.13929097458902004,0.36804312147199414,0.5073340960610142
Birch,high_data,0,2,10,0.2,750,0.13929097458902004,0.36804312147199414,0.5073340960610142
Birch,high_data,0,2,10,0.2,1000,0.13929097458902004,0.36804312147199414,0.5073340960610142
Birch,high_data,0,2,10,0.25,10,0.0,0.0,0.0
Birch,high_data,0,2,10,0.25,25,0.0,0.0,0.0
Birch,high_data,0,2,10,0.25,40,0.0,0.0,0.0
Birch,high_data,0,2,10,0.25,50,0.0,0.0,0.0
Birch,high_data,0,2,10,0.25,60,0.0,0.0,0.0
Birch,high_data,0,2,10,0.25,75,0.0,0.0,0.0
Birch,high_data,0,2,10,0.25,100,0.0,0.0,0.0
Birch,high_data,0,2,10,0.25,150,0.0,0.0,0.0
Birch,high_data,0,2,10,0.25,200,0.0,0.0,0.0
Birch,high_data,0,2,10,0.25,250,0.0,0.0,0.0
Birch,high_data,0,2,10,0.25,300,0.0,0.0,0.0
Birch,high_data,0,2,10,0.25,400,0.0,0.0,0.0
Birch,high_data,0,2,10,0.25,500,0.0,0.0,0.0
Birch,high_data,0,2,10,0.25,600,0.0,0.0,0.0
Birch,high_data,0,2,10,0.25,750,0.0,0.0,0.0
Birch,high_data,0,2,10,0.25,1000,0.0,0.0,0.0
Birch,high_data,0,2,10,0.3,10,0.0,0.0,0.0
Birch,high_data,0,2,10,0.3,25,0.0,0.0,0.0
Birch,high_data,0,2,10,0.3,40,0.0,0.0,0.0
Birch,high_data,0,2,10,0.3,50,0.0,0.0,0.0
Birch,high_data,0,2,10,0.3,60,0.0,0.0,0.0
Birch,high_data,0,2,10,0.3,75,0.0,0.0,0.0
Birch,high_data,0,2,10,0.3,100,0.0,0.0,0.0
Birch,high_data,0,2,10,0.3,150,0.0,0.0,0.0
Birch,high_data,0,2,10,0.3,200,0.0,0.0,0.0
Birch,high_data,0,2,10,0.3,250,0.0,0.0,0.0
Birch,high_data,0,2,10,0.3,300,0.0,0.0,0.0
Birch,high_data,0,2,10,0.3,400,0.0,0.0,0.0
Birch,high_data,0,2,10,0.3,500,0.0,0.0,0.0
Birch,high_data,0,2,10,0.3,600,0.0,0.0,0.0
Birch,high_data,0,2,10,0.3,750,0.0,0.0,0.0
