name,prefix,seed,dim,k,beta,ari,nmi,sum
DCF,new_data_scaled,0,2,90,0.96,2.726276299387268e-05,0.00042247193537558916,0.00044973469836946184
DCF,new_data_scaled,0,2,100,0.96,2.726276299387268e-05,0.00042247193537558916,0.00044973469836946184
DCF,new_data_scaled,0,2,3,0.97,0.007453166500093673,0.45710994074830363,0.46456310724839733
DCF,new_data_scaled,0,2,5,0.97,0.1852943910560962,0.6308229353737632,0.8161173264298595
DCF,new_data_scaled,0,2,6,0.97,0.6631666759016585,0.8148696907028455,1.478036366604504
DCF,new_data_scaled,0,2,7,0.97,0.9031973334525627,0.9404480705940329,1.8436454040465957
DCF,new_data_scaled,0,2,8,0.97,0.9647761874241728,0.9644175706462604,1.9291937580704333
DCF,new_data_scaled,0,2,9,0.97,0.9905950784065185,0.9851144567040282,1.9757095351105467
DCF,new_data_scaled,0,2,10,0.97,0.9271753661775801,0.948804538060956,1.8759799042385361
DCF,new_data_scaled,0,2,11,0.97,0.930872666099972,0.954741742247387,1.885614408347359
DCF,new_data_scaled,0,2,12,0.97,0.9164048983745409,0.9485529279992019,1.8649578263737427
DCF,new_data_scaled,0,2,13,0.97,0.9042824313693972,0.9373657554488127,1.84164818681821
DCF,new_data_scaled,0,2,14,0.97,0.7588115925056411,0.8834710529817705,1.6422826454874118
DCF,new_data_scaled,0,2,15,0.97,0.7588115925056411,0.8834710529817705,1.6422826454874118
DCF,new_data_scaled,0,2,20,0.97,0.4010643086387206,0.7270810215539,1.1281453301926205
DCF,new_data_scaled,0,2,25,0.97,0.18076395587950503,0.5397987955073178,0.7205627513868228
DCF,new_data_scaled,0,2,30,0.97,0.1125315435402311,0.4056297501678114,0.5181612937080424
DCF,new_data_scaled,0,2,35,0.97,0.044695178920292664,0.2209934864859211,0.2656886654062138
DCF,new_data_scaled,0,2,40,0.97,0.003250516368684193,0.035162556096184745,0.03841307246486894
DCF,new_data_scaled,0,2,45,0.97,0.003820663419971808,0.03863091945825926,0.042451582878231066
DCF,new_data_scaled,0,2,50,0.97,2.726276299387268e-05,0.00042247193537558916,0.00044973469836946184
DCF,new_data_scaled,0,2,55,0.97,2.726276299387268e-05,0.00042247193537558916,0.00044973469836946184
