name,prefix,seed,dim,min_cluster_size,ari,nmi,sum
HDBSCAN,low_data,0,10,5,0.8970846674485572,0.9169729650471692,1.8140576324957265
HDBSCAN,low_data,0,10,6,0.8869212190387555,0.9112246666742164,1.798145885712972
HDBSCAN,low_data,0,10,7,0.8834705385197223,0.9120594319246808,1.7955299704444032
HDBSCAN,low_data,0,10,8,0.8749087315640629,0.9095253243572564,1.7844340559213192
HDBSCAN,low_data,0,10,9,0.887938947211193,0.9253750177262072,1.8133139649374002
HDBSCAN,low_data,0,10,10,0.8667681952217213,0.9080907016430061,1.7748588968647274
HDBSCAN,low_data,0,10,11,0.8648934243229994,0.9090189981755823,1.7739124224985816
HDBSCAN,low_data,0,10,12,0.860834982303795,0.907554084890566,1.768389067194361
HDBSCAN,low_data,0,10,13,0.861097107386816,0.9085110762895412,1.769608183676357
HDBSCAN,low_data,0,10,14,0.8547676519226967,0.9086893841046425,1.7634570360273392
HDBSCAN,low_data,0,10,15,0.8487329456318446,0.9052970358113089,1.7540299814431535
HDBSCAN,low_data,0,10,16,0.8556500498252498,0.9077130523281906,1.7633631021534404
HDBSCAN,low_data,0,10,17,0.8481044666015728,0.9050997913220972,1.75320425792367
HDBSCAN,low_data,0,10,18,0.8447509884121714,0.9076255136715438,1.7523765020837152
HDBSCAN,low_data,0,10,19,0.8475172363634911,0.9085261670813144,1.7560434034448056
HDBSCAN,low_data,0,10,20,0.8492164212017154,0.9084892334037061,1.7577056546054215
HDBSCAN,low_data,0,10,21,0.8609336789802177,0.9111611720179137,1.7720948509981314
HDBSCAN,low_data,0,10,22,0.845176847913323,0.9084002474381417,1.7535770953514649
HDBSCAN,low_data,0,10,23,0.8813958106056857,0.9219703918940909,1.8033662024997765
HDBSCAN,low_data,0,10,24,0.8527324658611715,0.9097830420266908,1.7625155078878623
HDBSCAN,low_data,0,10,25,0.8411133001714307,0.9114461828503618,1.7525594830217925
HDBSCAN,low_data,0,10,26,0.8397554870936643,0.9108520651973104,1.7506075522909748
HDBSCAN,low_data,0,10,27,0.8430067067965559,0.9111933957797388,1.7542001025762946
HDBSCAN,low_data,0,10,28,0.8539328474989106,0.9096650974915309,1.7635979449904415
HDBSCAN,low_data,0,10,29,0.8489389799400605,0.9123727064228593,1.76131168636292
HDBSCAN,low_data,0,10,30,0.8518763643576802,0.9094554038726632,1.7613317682303435
HDBSCAN,low_data,0,50,2,0.9911711598146105,0.9907011950231034,1.981872354837714
HDBSCAN,low_data,0,50,3,0.9946490143722284,0.9963964739611011,1.9910454883333295
HDBSCAN,low_data,0,50,4,0.9946490143722284,0.9963964739611011,1.9910454883333295
HDBSCAN,low_data,0,50,5,0.9946490143722284,0.9963964739611011,1.9910454883333295
HDBSCAN,low_data,0,50,6,0.9946490143722284,0.9963964739611011,1.9910454883333295
HDBSCAN,low_data,0,50,7,0.9946490143722284,0.9963964739611011,1.9910454883333295
HDBSCAN,low_data,0,50,8,0.9946490143722284,0.9963964739611011,1.9910454883333295
HDBSCAN,low_data,0,50,9,0.9946490143722284,0.9963964739611011,1.9910454883333295
HDBSCAN,low_data,0,50,10,0.9946490143722284,0.9963964739611011,1.9910454883333295
HDBSCAN,low_data,0,50,11,0.9946490143722284,0.9963964739611011,1.9910454883333295
HDBSCAN,low_data,0,50,12,0.9946490143722284,0.9963964739611011,1.9910454883333295
HDBSCAN,low_data,0,50,13,0.9946490143722284,0.9963964739611011,1.9910454883333295
HDBSCAN,low_data,0,50,14,0.9946490143722284,0.9963964739611011,1.9910454883333295
HDBSCAN,low_data,0,50,15,0.9946490143722284,0.9963964739611011,1.9910454883333295
HDBSCAN,low_data,0,50,16,0.9946490143722284,0.9963964739611011,1.9910454883333295
HDBSCAN,low_data,0,50,17,0.9946490143722284,0.9963964739611011,1.9910454883333295
HDBSCAN,low_data,0,50,18,0.9946490143722284,0.9963964739611011,1.9910454883333295
HDBSCAN,low_data,0,50,19,0.9946490143722284,0.9963964739611011,1.9910454883333295
HDBSCAN,low_data,0,50,20,0.9946490143722284,0.9963964739611011,1.9910454883333295
HDBSCAN,low_data,0,50,21,0.9946490143722284,0.9963964739611011,1.9910454883333295
HDBSCAN,low_data,0,50,22,0.9946490143722284,0.9963964739611011,1.9910454883333295
HDBSCAN,low_data,0,50,23,0.9946490143722284,0.9963964739611011,1.9910454883333295
HDBSCAN,low_data,0,50,24,0.9946490143722284,0.9963964739611011,1.9910454883333295
HDBSCAN,low_data,0,50,25,0.9946490143722284,0.9963964739611011,1.9910454883333295
HDBSCAN,low_data,0,50,26,0.9946490143722284,0.9963964739611011,1.9910454883333295
HDBSCAN,low_data,0,50,27,0.9946490143722284,0.9963964739611011,1.9910454883333295
HDBSCAN,low_data,0,50,28,0.9946490143722284,0.9963964739611011,1.9910454883333295
HDBSCAN,low_data,0,50,29,0.9946490143722284,0.9963964739611011,1.9910454883333295
HDBSCAN,low_data,0,50,30,0.9946490143722284,0.9963964739611011,1.9910454883333295
HDBSCAN,low_data,0,100,2,1.0,1.0,2.0
HDBSCAN,low_data,0,100,3,1.0,1.0,2.0
HDBSCAN,low_data,0,100,4,1.0,1.0,2.0
HDBSCAN,low_data,0,100,5,1.0,1.0,2.0
HDBSCAN,low_data,0,100,6,1.0,1.0,2.0
HDBSCAN,low_data,0,100,7,1.0,1.0,2.0
HDBSCAN,low_data,0,100,8,1.0,1.0,2.0
HDBSCAN,low_data,0,100,9,1.0,1.0,2.0
HDBSCAN,low_data,0,100,10,1.0,1.0,2.0
HDBSCAN,low_data,0,100,11,1.0,1.0,2.0
HDBSCAN,low_data,0,100,12,1.0,1.0,2.0
HDBSCAN,low_data,0,100,13,1.0,1.0,2.0
HDBSCAN,low_data,0,100,14,1.0,1.0,2.0
HDBSCAN,low_data,0,100,15,0.9973430570141276,0.9968778734283757,1.9942209304425034
HDBSCAN,low_data,0,100,16,0.9973430570141276,0.9968778734283757,1.9942209304425034
HDBSCAN,low_data,0,100,17,0.9973430570141276,0.9968778734283757,1.9942209304425034
HDBSCAN,low_data,0,100,18,0.9973430570141276,0.9968778734283757,1.9942209304425034
HDBSCAN,low_data,0,100,19,0.9973430570141276,0.9968778734283757,1.9942209304425034
HDBSCAN,low_data,0,100,20,0.9973430570141276,0.9968778734283757,1.9942209304425034
HDBSCAN,low_data,0,100,21,0.9973430570141276,0.9968778734283757,1.9942209304425034
HDBSCAN,low_data,0,100,22,0.9973430570141276,0.9968778734283757,1.9942209304425034
HDBSCAN,low_data,0,100,23,0.9973430570141276,0.9968778734283757,1.9942209304425034
HDBSCAN,low_data,0,100,24,0.9973430570141276,0.9968778734283757,1.9942209304425034
HDBSCAN,low_data,0,100,25,0.9973430570141276,0.9968778734283757,1.9942209304425034
HDBSCAN,low_data,0,100,26,0.9973430570141276,0.9968778734283757,1.9942209304425034
HDBSCAN,low_data,0,100,27,0.9973430570141276,0.9968778734283757,1.9942209304425034
HDBSCAN,low_data,0,100,28,0.9973430570141276,0.9968778734283757,1.9942209304425034
HDBSCAN,low_data,0,100,29,0.9973430570141276,0.9968778734283757,1.9942209304425034
HDBSCAN,low_data,0,100,30,0.9973430570141276,0.9968778734283757,1.9942209304425034
